"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대전광역시 서구청",대전광역시 서구 오량1길 40(복수동),대전광역시 서구 복수동 283-38 해피플러스 앞,쓰레기단속,1,,,5,2017-11,042-288-3574,36.310448,127.375772,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동 781(복수동),대전광역시 서구 복수동 781 공영주차장 옆,쓰레기단속,1,,,5,2018-05,042-288-3574,36.297749,127.378139,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동로 96-19(복수동),대전광역시 서구 복수동 812 해운빌딩 옆,쓰레기단속,1,,,5,2018-05,042-288-3574,36.296489,127.376259,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동로88번길 20(복수동),대전광역시 서구 복수동 762 해피하우스 옆,쓰레기단속,1,,,5,2018-05,042-288-3574,36.297309,127.376582,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동로52번길 140(복수동),대전광역시 서구 복수동 556 에메니티빌 앞,쓰레기단속,1,,,5,2018-05,042-288-3574,36.299706,127.374451,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동로52번길 72(복수동),대전광역시 서구 복수동 초록마을 501동 뒤,쓰레기단속,1,,,5,2018-05,042-288-3574,36.298995,127.375169,2019-01-04
"대전광역시 서구청",대전광역시 서구 오량4길 55(복수동),대전광역시 서구 복수동 283-292 행복한어린이집 앞,쓰레기단속,1,,,5,2018-05,042-288-3574,36.308925,127.377464,2019-01-04
"대전광역시 서구청",대전광역시 서구 배재로186번길 12(도마동),대전광역시 서구 도마동 24-40 복음맨션 2동 앞,쓰레기단속,1,,,5,2017-11,042-288-3574,36.325036,127.371148,2019-01-04
"대전광역시 서구청",대전광역시 서구 사마6길 103(도마동),대전광역시 서구 도마동 107-15 주택가,쓰레기단속,1,,,5,2018-12,042-288-3574,36.3189659,127.374261,2019-01-04
"대전광역시 서구청",대전광역시 서구 도마동 62-10(도마동),대전광역시 서구 도마동 로즈미용실 앞,쓰레기단속,1,,,5,2017-09,042-288-3574,36.3194289,127.3410463000,2019-01-04
"대전광역시 서구청",대전광역시 서구 조달청길 141(도마동),대전광역시 서구 도마동 80-13 신한빌딩 앞,쓰레기단속,1,,,5,2018-05,042-288-3574,36.319251,127.380306,2019-01-04
